"module name","license","repository"
"indent-string@2.1.0","MIT","https://github.com/sindresorhus/indent-string"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits"
"ini@1.3.5","ISC","https://github.com/isaacs/ini"
"int24@0.0.1","MIT","https://github.com/matanamir/int24"
"int32@2.5.5","MIT","https://github.com/magiclen/node-int32"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-builtin-module@1.0.0","MIT","https://github.com/sindresorhus/is-builtin-module"
"is-electron-renderer@2.0.1","MIT","https://github.com/jprichardson/is-electron-renderer"
"is-extendable@0.1.1","MIT","https://github.com/jonschlinkert/is-extendable"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-finite@1.0.2","MIT","https://github.com/sindresorhus/is-finite"
"is-fullwidth-code-point@1.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@3.1.0","MIT","https://github.com/jonschlinkert/is-glob"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray"
"is-utf8@0.2.1","MIT","https://github.com/wayfind/is-utf8"
"is-valid-glob@1.0.0","MIT","https://github.com/jonschlinkert/is-valid-glob"
"is-windows@1.0.1","MIT","https://github.com/jonschlinkert/is-windows"
"isarray@0.0.1","MIT","https://github.com/juliangruber/isarray"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream"
"izitoast@1.3.0","Apache-2.0","https://github.com/dolce/iziToast"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn"
"json-schema-traverse@0.3.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-schema@0.2.3","AFLv2.1,BSD","https://github.com/kriszyp/json-schema"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"jsonfile@2.4.0","MIT","https://github.com/jprichardson/node-jsonfile"
"jsonfile@4.0.0","MIT","https://github.com/jprichardson/node-jsonfile"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim"
"klaw@1.3.1","MIT","https://github.com/jprichardson/node-klaw"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file"
"lodash.get@4.4.2","MIT","https://github.com/lodash/lodash"
"loud-rejection@1.6.0","MIT","https://github.com/sindresorhus/loud-rejection"
"map-obj@1.0.1","MIT","https://github.com/sindresorhus/map-obj"
"matched@1.0.2","MIT","https://github.com/jonschlinkert/matched"
"meow@3.7.0","MIT","https://github.com/sindresorhus/meow"
"mime-db@1.30.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.17","MIT","https://github.com/jshttp/mime-types"
"minimatch@3.0.4","ISC","https://github.com/isaacs/minimatch"
"minimist@0.0.8","MIT","https://github.com/substack/minimist"
"minimist@1.2.0","MIT","https://github.com/substack/minimist"
"mkdirp@0.5.0","MIT","https://github.com/substack/node-mkdirp"
"mkdirp@0.5.1","MIT","https://github.com/substack/node-mkdirp"
"mocha@4.1.0","MIT","https://github.com/mochajs/mocha"
"mocha@5.0.5","MIT","https://github.com/mochajs/mocha"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"normalize-package-data@2.4.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"nugget@2.0.1","BSD*","https://github.com/maxogden/nugget"
"number-is-nan@1.0.1","MIT","https://github.com/sindresorhus/number-is-nan"
"oauth-sign@0.8.2","Apache-2.0","https://github.com/mikeal/oauth-sign"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-keys@0.4.0","MIT","https://github.com/ljharb/object-keys"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"pako@1.0.6","(MIT AND Zlib)","https://github.com/nodeca/pako"
"parse-json@2.2.0","MIT","https://github.com/sindresorhus/parse-json"
"parse-passwd@1.0.0","MIT","https://github.com/doowb/parse-passwd"
"path-exists@2.1.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-type@1.1.0","MIT","https://github.com/sindresorhus/path-type"
"pathval@1.1.0","MIT","https://github.com/chaijs/pathval"
"pend@1.2.0","MIT","https://github.com/andrewrk/node-pend"
"performance-now@2.1.0","MIT","https://github.com/braveg1rl/performance-now"
"pify@2.3.0","MIT","https://github.com/sindresorhus/pify"
"pinkie-promise@2.0.1","MIT","https://github.com/floatdrop/pinkie-promise"
"pinkie@2.0.4","MIT","https://github.com/floatdrop/pinkie"
"png-lib@1.1.0","GPL-3.0",""
"pretty-bytes@1.0.4","MIT","https://github.com/sindresorhus/pretty-bytes"
"process-nextick-args@2.0.0","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"progress-stream@1.2.0","BSD-2-Clause","https://github.com/freeall/progress-stream"
"punycode@1.4.1","MIT","https://github.com/bestiejs/punycode.js"
"qs@6.5.1","BSD-3-Clause","https://github.com/ljharb/qs"
"rc@1.2.6","(BSD-2-Clause OR MIT OR Apache-2.0)","https://github.com/dominictarr/rc"
"read-pkg-up@1.0.1","MIT","https://github.com/sindresorhus/read-pkg-up"
"read-pkg@1.1.0","MIT","https://github.com/sindresorhus/read-pkg"
"readable-stream@1.1.14","MIT","https://github.com/isaacs/readable-stream"
"readable-stream@2.3.5","MIT","https://github.com/nodejs/readable-stream"
"redent@1.0.0","MIT","https://github.com/sindresorhus/redent"
"repeating@2.0.1","MIT","https://github.com/sindresorhus/repeating"
"request@2.83.0","Apache-2.0","https://github.com/request/request"
"resolve-dir@1.0.1","MIT","https://github.com/jonschlinkert/resolve-dir"
"rimraf@2.6.2","ISC","https://github.com/isaacs/rimraf"
"rxjs@5.5.6","Apache-2.0","https://github.com/ReactiveX/RxJS"
"safe-buffer@5.1.1","MIT","https://github.com/feross/safe-buffer"
"sanitize-filename@1.6.1","WTFPL OR ISC","https://github.com/parshap/node-sanitize-filename"
"sarc-lib@2.0.3","GPL-3.0",""
"semver@5.5.0","ISC","https://github.com/npm/node-semver"
"signal-exit@3.0.2","ISC","https://github.com/tapjs/signal-exit"
"single-line-log@1.1.2","MIT","https://github.com/freeall/single-line-log"
"sntp@2.1.0","BSD-3-Clause","https://github.com/hueniverse/sntp"
"spdx-correct@1.0.2","Apache-2.0","https://github.com/kemitchell/spdx-correct.js"
"spdx-expression-parse@1.0.4","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-expression-parse.js"
"spdx-license-ids@1.2.2","Unlicense","https://github.com/shinnn/spdx-license-ids"
"speedometer@0.1.4","MIT*","https://github.com/mafintosh/speedometer"
"split.js@1.3.5","MIT","https://github.com/nathancahill/Split.js"
"sshpk@1.13.1","MIT","https://github.com/arekinath/node-sshpk"
"string-width@1.0.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@0.10.31","MIT","https://github.com/rvagg/string_decoder"
"string_decoder@1.0.3","MIT","https://github.com/rvagg/string_decoder"
"stringstream@0.0.5","MIT","https://github.com/mhart/StringStream"
"strip-ansi@3.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-bom@2.0.0","MIT","https://github.com/sindresorhus/strip-bom"
"strip-indent@1.0.1","MIT","https://github.com/sindresorhus/strip-indent"
"strip-json-comments@2.0.1","MIT","https://github.com/sindresorhus/strip-json-comments"
"sumchecker@1.3.1","Apache-2.0","https://github.com/malept/sumchecker"
"supports-color@4.4.0","MIT","https://github.com/chalk/supports-color"
"sweetalert2@7.19.2","MIT","https://github.com/sweetalert2/sweetalert2"
"symbol-observable@1.0.1","MIT","https://github.com/blesh/symbol-observable"
"three-orbit-controls@82.1.0","MIT","https://github.com/mattdesl/three-orbit-controls"
"throttleit@0.0.2","MIT","https://github.com/component/throttle"
"through2@0.2.3","MIT","https://github.com/rvagg/through2"
"tough-cookie@2.3.3","BSD-3-Clause","https://github.com/salesforce/tough-cookie"
"trim-newlines@1.0.0","MIT","https://github.com/sindresorhus/trim-newlines"
"truncate-utf8-bytes@1.0.2","WTFPL","https://github.com/parshap/truncate-utf8-bytes"
"tunnel-agent@0.6.0","Apache-2.0","https://github.com/mikeal/tunnel-agent"
"tweetnacl@0.14.5","Unlicense","https://github.com/dchest/tweetnacl-js"
"type-detect@4.0.8","MIT","https://github.com/chaijs/type-detect"
"typedarray@0.0.6","MIT","https://github.com/substack/typedarray"
"universalify@0.1.1","MIT","https://github.com/RyanZim/universalify"
"utf8-byte-length@1.0.4","WTFPL","https://github.com/parshap/utf8-byte-length"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"uuid@3.2.1","MIT","https://github.com/kelektiv/node-uuid"
"validate-npm-package-license@3.0.1","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"verror@1.10.0","MIT","https://github.com/davepacheco/node-verror"
"which@1.3.0","ISC","https://github.com/isaacs/node-which"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xmlhttprequest@1.8.0","MIT","https://github.com/driverdan/node-XMLHttpRequest"
"xtend@2.1.2","MIT","https://github.com/Raynos/xtend"
"yauzl@2.4.1","MIT","https://github.com/thejoshwolfe/yauzl"
"yaz0-lib@2.0.0","GPL-3.0",""

